ID,Name,Description,Contributor,Citation,Examples_Count
glossa4812,Introducing Glossa,,"Rooryck, Johan","Rooryck, Johan. 2016. Introducing Glossa. Glossa: a journal of general linguistics 1(1). Open Library of Humanities.",0
glossa4813,Propping up predicates: Adjectival predication in Tłı̨chǫ Yatıı̀,,"Welch, Nicholas","Welch, Nicholas. 2016. Propping up predicates: Adjectival predication in Tłı̨chǫ Yatıı̀. Glossa: a journal of general linguistics 1(1). Open Library of Humanities.",60
glossa4814,Verb-second word order after German weil ‘because’: Psycholinguistic theory from corpus-linguistic data,,"Kempen, Gerard and Harbusch, Karin","Kempen, Gerard and Harbusch, Karin. 2016. Verb-second word order after German weil ‘because’: Psycholinguistic theory from corpus-linguistic data. Glossa: a journal of general linguistics 1(1). Open Library of Humanities.",37
glossa4815,Syntax-phonology mapping and the Tongan DP,,"Ahn, Byron","Ahn, Byron. 2016. Syntax-phonology mapping and the Tongan DP. Glossa: a journal of general linguistics 1(1). Open Library of Humanities.",54
glossa4816,Addressing the “two interface” problem: Comparatives and superlatives,,"Dunbar, Ewan and Wellwood, Alexis","Dunbar, Ewan and Wellwood, Alexis. 2016. Addressing the “two interface” problem: Comparatives and superlatives. Glossa: a journal of general linguistics 1(1). Open Library of Humanities.",4
glossa4817,Velar palatalization in Chilean public speech,,"Flores, Tanya L.","Flores, Tanya L. 2016. Velar palatalization in Chilean public speech. Glossa: a journal of general linguistics 1(1). Open Library of Humanities.",0
glossa4818,Modeling of problems of projection: A non-countercyclic approach,,"Ginsburg, Jason","Ginsburg, Jason. 2016. Modeling of problems of projection: A non-countercyclic approach. Glossa: a journal of general linguistics 1(1). Open Library of Humanities.",0
glossa4819,Subject-object asymmetries in Persian argument ellipsis and the anti-agreement theory,,"Sato, Yosuke and Karimi, Simin","Sato, Yosuke and Karimi, Simin. 2016. Subject-object asymmetries in Persian argument ellipsis and the anti-agreement theory. Glossa: a journal of general linguistics 1(1). Open Library of Humanities.",85
glossa4820,A precedence-free approach to (de-)palatalisation in Japanese,,"Nasukawa, Kuniya","Nasukawa, Kuniya. 2016. A precedence-free approach to (de-)palatalisation in Japanese. Glossa: a journal of general linguistics 1(1). Open Library of Humanities.",0
glossa4822,Wide-focus subject-verb inversion in Ibero-Romance: A locative account,,"Corr, Alice","Corr, Alice. 2016. Wide-focus subject-verb inversion in Ibero-Romance: A locative account. Glossa: a journal of general linguistics 1(1). Open Library of Humanities.",78
glossa4824,Transderivational relations and paradigm gaps in Russian verbs,,"Pertsova, Katya","Pertsova, Katya. YYYY. Transderivational relations and paradigm gaps in Russian verbs. Glossa: a journal of general linguistics 1(1). Open Library of Humanities.",1
glossa4826,"Degree quantifiers, bare quantifiers and intensifiers in the midfield: A new look at quantification at a distance",,"Authier, J.-Marc","Authier, J.-Marc. 2016. Degree quantifiers, bare quantifiers and intensifiers in the midfield: A new look at quantification at a distance. Glossa: a journal of general linguistics 1(1). Open Library of Humanities.",197
glossa4827,Two ways of encoding location in Greek: Locative applicatives and prepositions,,"Daskalaki, Evangelia and Mavrogiorgos, Marios","Daskalaki, Evangelia and Mavrogiorgos, Marios. 2016. Two ways of encoding location in Greek: Locative applicatives and prepositions. Glossa: a journal of general linguistics 1(1). Open Library of Humanities.",116
glossa4828,Agreement and the structure of relative clauses,,"Arsenijević, Boban and Gračanin-Yuksek, Martina","Arsenijević, Boban and Gračanin-Yuksek, Martina. 2016. Agreement and the structure of relative clauses. Glossa: a journal of general linguistics 1(1). Open Library of Humanities.",26
glossa4829,"Anticausatives are weak scalar expressions, not reflexive expressions",,"Schäfer, Florian and Vivanco, Margot","Schäfer, Florian and Vivanco, Margot. 2016. Anticausatives are weak scalar expressions, not reflexive expressions. Glossa: a journal of general linguistics 1(1). Open Library of Humanities.",118
glossa4830,Inter- and intra-speaker variation in French schwa,,"Bayles, Andrew and Kaplan, Aaron and Kaplan, Abby","Bayles, Andrew and Kaplan, Aaron and Kaplan, Abby. 2016. Inter- and intra-speaker variation in French schwa. Glossa: a journal of general linguistics 1(1). Open Library of Humanities.",0
glossa4831,How allomorphic is English article allomorphy?,,"Pak, Marjorie","Pak, Marjorie. 2016. How allomorphic is English article allomorphy?. Glossa: a journal of general linguistics 1(1). Open Library of Humanities.",0
glossa4834,Vocoid-driven processes: Palatalization and glide hardening in Greek and its dialects,,"Baltazani, Mary and Kainada, Evia and Revithiadou, Anthi and Topintzi, Nina","Baltazani, Mary and Kainada, Evia and Revithiadou, Anthi and Topintzi, Nina. 2016. Vocoid-driven processes: Palatalization and glide hardening in Greek and its dialects. Glossa: a journal of general linguistics 1(1). Open Library of Humanities.",0
glossa4835,Velar palatalization in Slovenian: Local and long-distance interactions in a derived environment effect,,"Jurgec, Peter","Jurgec, Peter. 2016. Velar palatalization in Slovenian: Local and long-distance interactions in a derived environment effect. Glossa: a journal of general linguistics 1(1). Open Library of Humanities.",10
glossa4849,Review article of Waltraud Paul’s New Perspectives on Chinese Syntax (2015),,"Li, Yen-hui Audrey","Li, Yen-hui Audrey. 2016. Review article of Waltraud Paul’s New Perspectives on Chinese Syntax (2015). Glossa: a journal of general linguistics 1(1). Open Library of Humanities.",37
glossa4853,Book review of Yoad Winter’s Elements of formal semantics (2016),,"Rett, Jessica","Rett, Jessica. 2016. Book review of Yoad Winter’s Elements of formal semantics (2016). Glossa: a journal of general linguistics 1(1). Open Library of Humanities.",0
glossa4856,Two Negations for the Price of One,,"Thornton, Rosalind and Notley, Anna and Moscati, Vincenzo and Crain, Stephen","Thornton, Rosalind and Notley, Anna and Moscati, Vincenzo and Crain, Stephen. 2016. Two Negations for the Price of One. Glossa: a journal of general linguistics 1(1). Open Library of Humanities.",1
glossa4857,Language as an instrument of thought,,"Asoulin, Eran","Asoulin, Eran. 2016. Language as an instrument of thought. Glossa: a journal of general linguistics 1(1). Open Library of Humanities.",0
glossa4864,When you isn’t you: The attraction of self-ascription in children’s interpretation of pronouns in reported speech,,"Köder, Franziska and Maier, Emar","Köder, Franziska and Maier, Emar. 2017. When you isn’t you: The attraction of self-ascription in children’s interpretation of pronouns in reported speech. Glossa: a journal of general linguistics 2(1). Open Library of Humanities.",2
glossa4865,Noun complement clauses as referential modifiers,,"de Cuba, Carlos","de Cuba, Carlos. 2017. Noun complement clauses as referential modifiers. Glossa: a journal of general linguistics 2(1). Open Library of Humanities.",78
glossa4867,Partitive descriptions in Korean,,"Shin, Keun Young","Shin, Keun Young. 2017. Partitive descriptions in Korean. Glossa: a journal of general linguistics 2(1). Open Library of Humanities.",70
glossa4868,Confronting perspectives: Modeling perspectival complexity in language and cognition,,"Zeman, Sonja","Zeman, Sonja. 2017. Confronting perspectives: Modeling perspectival complexity in language and cognition. Glossa: a journal of general linguistics 2(1). Open Library of Humanities.",1
glossa4871,The comprehension of Italian relative clauses in poor readers and in children with Specific Language Impairment,,"Arosio, Fabrizio and Panzeri, Francesca and Molteni, Bruna and Magazù, Santina and Guasti, Maria Teresa","Arosio, Fabrizio and Panzeri, Francesca and Molteni, Bruna and Magazù, Santina and Guasti, Maria Teresa. 2017. The comprehension of Italian relative clauses in poor readers and in children with Specific Language Impairment. Glossa: a journal of general linguistics 2(1). Open Library of Humanities.",8
glossa4874,Suspended morphology in Serbian: clitics vs. affixes,,"Despić, Miloje","Despić, Miloje. 2017. Suspended morphology in Serbian: clitics vs. affixes. Glossa: a journal of general linguistics 2(1). Open Library of Humanities.",87
