ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Examples_Count,Examples_Count_Log
undefined,Undefined Language,,,,,,,
dogr1252,Dogrib,,63.17,-117.25,dogr1252,,56,4.02535169073515
stan1293,English,,53.0,-1.0,stan1293,,448,6.104793232414985
weee1241,We,,,,weee1241,,2,0.6931471805599453
stan1295,German,,48.649,12.4676,stan1295,,1515,7.323170717943469
tong1325,Tonga (Tonga Islands),,-21.17,-175.25,tong1325,,73,4.290459441148391
west2369,Western Farsi,,32.9,53.3,west2369,,208,5.337538079701318
iris1253,Irish,,53.2186,-7.61509,iris1253,,30,3.4011973816621555
nucl1643,Japanese,,35.0,135.0,nucl1643,,539,6.289715570908998
nucl1301,Turkish,,39.8667,32.8667,nucl1301,,267,5.58724865840025
astu1246,Asturian,,,,astu1246,,22,3.091042453358316
port1283,Portuguese,,39.91,-8.1,port1283,,60,4.0943445622221
stan1288,Spanish,,40.4414,-1.11788,stan1288,,792,6.674561391814426
ital1282,Italian,,43.0464,12.6489,ital1282,,504,6.222576268071369
braz1246,Brazilian Portuguese,,,,braz1246,,122,4.804021044733257
gree1276,Greek,,,,gree1276,,523,6.259581464064923
lezg1247,Lezgian,,41.5157,47.8951,lezg1247,,5,1.6094379124341003
stan1290,French,,48.0,2.0,stan1290,,1012,6.919683849847411
chag1248,Kilimanjaro Bantu,,,,chag1248,,95,4.553876891600541
sout1528,Serbian-Croatian-Bosnian,,44.15,18.81,sout1528,,297,5.6937321388027
amto1250,Amto,,-4.12165,141.339,amto1250,,2,0.6931471805599453
mand1415,Mandarin Chinese,,40.0209,116.228,mand1415,,464,6.139884552226255
dutc1256,Dutch,,52.0,5.0,dutc1256,,409,6.013715156042802
kore1280,Korean,,37.54,126.98,kore1280,,189,5.241747015059643
nucl1310,Burmese,,20.7926,93.9665,nucl1310,,3,1.0986122886681098
swed1254,Swedish,,59.800634,17.389526,swed1254,,334,5.811140992976701
icel1247,Icelandic,,63.4837,-19.0212,icel1247,,290,5.66988092298052
basq1248,Basque,,43.2787,-1.31622,basq1248,,91,4.51085950651685
bulg1262,Bulgarian,,43.3646,25.047,bulg1262,,147,4.990432586778736
finn1318,Finnish,,64.7628,25.5577,finn1318,,252,5.529429087511423
hind1269,Hindi,,25.0,77.0,hind1269,,103,4.634728988229636
hung1274,Hungarian,,46.9068585714,19.6555271429,hung1274,,202,5.308267697401205
norw1259,Norwegian Bokmål,,61.112,8.886,norw1259,,1,0.0
