ID,Language_ID,Primary_Text,Morphemes,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comments,Text_ID,Part_of_Speech,wPOS,Other_Translation
1.1,lez,"Са юкъуз зун хуьряй КцӀариз хквезвай тир , рекъе са стӀурви стхадал гьалтна .","са	юкъ -у -з	зун	хуьр -ай	кцӏар -и -з	хкве -зва -й	тир	,	рекъ -е	са	стӀурви	стха -да -л	гьалт -на	.","са	юкъ -ди -з	зун	хуьр -ай	кцӏар -ди -з	хквен -зва -й	тир	,	рекъ -е	са	стӀурви	стха -е -л	гьалтун -на	.","one	~~~ OBL DAT	1sg.abs	village INELAT	gusar OBL DAT	return IMPF PST	was	,	way,.road INESS	one	from.Sudur	brother INESS SPSS	meet AOR	.",One day I was on my way from the village to Gusar. ‎‎I met one man from Sudur. ,en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,cardnum	n n:(OBLIQUEstem) n:(CASE)	pers	n n:(OBLIQUEstem)	n n:(OBLIQUEstem) n:(CASE)	v v:TAM1 cop:(TAM)	v	punct	n n:(OBLIQUEstem)	cardnum	n	n n:(OBLIQUEstem) n:(CASE)	v v:TAM1	punct,cardnum n pers n n Vnf v punct n cardnum n n Vf punct,~~~
1.2,lez,"Таниш хьана , жув чирна гьадаз .","таниш	хьа -на	,	жув	чир -на	гьада -з	.","таниш	хьун -на	,	жув	чирин -на	гьада -з	.","acquainted	be AOC	,	us	know AOR	she DAT	.","Got acquainted, introduced myself to him. ",en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,adj	v v:TAM1	punct	proform	v v:TAM1	pro n:(CASE)	punct,v Vnf punct proform Vf pro punct,~~~
1.3,lez,"Адаз чир~хьайила хьи , зун ки зун журналист я , ада заз са кьиса ахъайна .","ада -з	чир хьа -йи -ла	хьи	,	зун	ки	зун	журналист	я	,	ада	за -з	са	кьиса	ахъа -й -на	.","ада -з	чир хьа -ай -ла	хьи	,	зун	ки	зун	журналист	я	,	ада	за -з	са	кьиса	ахъа -й -на	.","he DAT	knowledge happened AOP TEMP	that	,	1sg.abs	that	1sg.abs	journalist	was	,	he	1sg.ERG DAT	one	a.story	open PST AOR	.","When he learned that I was a journalist, he told me a story.",en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,pro n:(CASE)	n v v:TAM1 v:(TAM2)	coordconn	punct	pers	subordconn	pers	n	v	punct	pro	pers n:(CASE)	cardnum	n	adv cop:(TAM) v:TAM1	punct,pro Vnf coordconn punct pers subordconn pers n v punct pro pers cardnum n Vf punct,~~~
1.4,lez,"СтӀурани , квез чидайвал , чи дереда авай виридлайни кьакьан дагъларив мукьвал са хуьр я .","СтӀур -а -ни	,	кве -з	чи -дай -вал	,	чи	дере -да	ава -й	вири -д -л -ай -ни	кьакьан	дагъ -л -ар -и -в	мукьва -л	са	хуьр	я	.","СтӀур -ди -ни	,	*кве -з	чин -дай -вал	,	чи	дере -е	ава -й	вири -е -л -ай -ни	кьакьан	дагъ -л -ар -ди -в	мукьва -л	са	хуьре	я	.","Sudur ERG FOC	,	2pl DAT	knowing FUT.PTP PURP	,	1pl.gen	valley INESS	is PST	EVERYTHING INESS SPSS EL FOC	high	mountain SPSS PL ERG AD	close SPSS	one	village.in	was	.","As you know, Sudur is the village close to the highest mountains.",en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,n n:(OBLIQUEstem) Attachestoanycategory	punct	proform n:(CASE)	v v:Any v:(TAM2)	punct	pro	n n:(OBLIQUEstem)	v cop:(TAM)	Attachestoanycategory n:(OBLIQUEstem) n:(CASE) n:(CASE2) Attachestoanycategory	adv	n n:(CASE) n:(PLURAL) n:(OBLIQUEstem) n:(CASE)	adj n:(CASE)	cardnum	n	v	punct,nprop punct pro verbprt punct pro n verbprt pro adv n adv cardnum n v punct,~~~
1.5,lez,"Адалай кьулухъ хуьр артух амач , яшайиш амач ана .","ада -л -яй	кьулухъ	хуьр	артух	ама -ч	,	яшайиш	ама -ч	ана	.","ада -л -ай	кьулухъ	хуьр	артух	ама -ч	,	яшайиш	ама -ч	ана	.","it SPSS EL	behind	village	better	still.be,.remain NEG	,	living.person	still.be,.remain NEG	there	.",There is no village and no living behind it. ,en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,pro n:(CASE) n:(CASE2)	adv	n	adj	v v:(TAM2)	punct	n	v v:(TAM2)	adv	punct,pro adv n adj v punct n Vnf adv punct,~~~
1.6,lez,"ГьакӀ хьайила и дагъвийриз чпиз~чпиз~мукьвал характер авайди я , чпин философия авайди я .","ГьакӀ	хьа -йи -ла	и	дагъви -йр -и -з	чпиз.чпиз.мукьвал	характер	ава -й -ди	я	,	чпин	философия	ава -й -ди	я	.","ГьакӀ	хьун -ай -ла	и	дагъви -ар -ди -з	чпиз.чпиз.мукьвал	характер	ава -ай -ди	я	,	чпин	философия	ава -й -ди	я	.","like.that	be AOP TEMP	this	mountain.person PL ERG DAT	THEMSELVES.ASSOCIATED	character	is AOP SBST	was	,	their.own	philosopy	is PST SBST	was	.","Therefore these mountain dwellers have the character close to them, have their own philosophy. ",en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,adv	msd v:TAM1 v:(TAM2)	dem	n n:(PLURAL) n:(OBLIQUEstem) n:(CASE)	n	n	v v:TAM1 v:(TAM2)	v	punct	pro	n	v cop:(TAM) v:(TAM2)	v	punct,adv ptcp dem n n n ptcp v punct pro n ptcp Vf punct,~~~
1.7,lez,Абурувай пара ибре ибретани шейер къачуз жеда~чавай .,а -бур -у -в -яй	пара	ибре	ибретани	шей -ер	къачу -з	же -да -чав -ай	.,а -бур -ди -в -ай	пара	ибре	ибретани	шей -ер	къачун -з	же -да -чав -ай	.,obl.stm ABS.PL ERG AD EL	very	exemplary	exemplary	thing PL	take INF	be FUT TO.US EL	.,We can take many lessons from them. ,en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,<NotSure> proform:Any n:(OBLIQUEstem) n:(CASE) n:(CASE2)	adv	adj	adj	n Attachestoanycategory	v v:TAM1	v v:TAM1 Pronoun n:(CASE2)	punct,pro adv adj adj n v v punct,~~~
2.1,lez,Джафер тир кастин тӀвар .,джафер	тир	кас -ди -н	тӀвар	.,джафер	тир	кас -ди -н	тӀвар	.,Jaffer	was	man OBL GEN	name	.,The name of the man was Jaffar. ,en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,n	v	n n:(OBLIQUEstem) n:(CASE)	n	punct,nprop v n n punct,~~~
2.2,lez,"Лугьузва хьи ада , вичин къунши Исабалади вичиз са кӀурцӀул багъишна .","лугьу -зва	хьи	ада	,	вич -и -н	къунши	Исабала -ди	вичи -з	са	кӀурцӀул	багъиш -на	.","лугьун -зва	хьи	ада	,	вич -ди -н	къунши	Исабала -ди	вичи -з	са	кӀурцӀул	багъишин -на	.","say IMPF	that	he	,	himself ERG GEN	neighbor	Isabala ERG	he DAT	one	puppy	~~~ AOR	.",He said that his neighbor Isabala  presented him a puppy. ,en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,v v:TAM1	coordconn	pro	punct	pro n:(OBLIQUEstem) n:(CASE)	n	nprop n:(OBLIQUEstem)	pro n:(CASE)	cardnum	n	v v:TAM1	punct,Vnf coordconn pro punct recp n nprop pro cardnum n Vf punct,~~~
2.3,lez,Вични дагъви хьиз кӀурцӀулар пара кӀандай инсан я ма .,вич -ни	дагъви	хьи -з	кӀурцӀул -яр	пара	кӀан -да -й	инсан	я	ма	.,вич -ни	дагъви	хьи -з	кӀурцӀул -ар	пара	кӀан -да -й	инсан	я	ма	.,himself FOC	mountain.person	happen DAT	puppy PL	very	want ENT PST	man	was	you.know	.,​As a mountain dweller he loved dogs very much.,en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,pro Attachestoanycategory	n	v n:(CASE)	n n:(PLURAL)	adv	v v:TAM1 cop:(TAM)	n	v	prt	punct,recp n prt n adv v n v prt punct,~~~
2.4,lez,"ЧӀехи хьана кӀурцӀул , и кӀурцӀулдихъ галаз вич лап мягькем дуст хьана .","ЧӀехи	хьа -на	кӀурцӀул	,	и	кӀурцӀул -ди -хъ	гала -з	вич	лап	мягькем	дуст	хьа -на	.","ЧӀехи	хьун -на	кӀурцӀул	,	и	кӀурцӀул -ди -хъ	галаз -з	вич	лап	мягькем	дуст	хьун -на	.","Big	be AOC	puppy	,	this	puppy DIR POESS	with DAT	himself	very	strong	friend	be AOR	.",The puppy grew up and they became very good friends with the dog. ,en,true-ish second-hand story,He had a dog / 02 Адаз кицӀ авай тир,adj	v v:TAM1	n	punct	dem	n n:(CASE2) n:(CASE)	subordconn n:(CASE)	pro	prt	adj	n	v v:TAM1	punct,adj v n punct dem n subordconn pro det adj n Vf punct,~~~
