ID,Language_ID,Primary_Text,Morphemes,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Text_ID,Part_of_Speech,wPOS,Russian_Translation
43831,dido1241,Esin šebi xecin šebi zownƛax sis ɣˤana-xediw.,,esi-n	šebi	xeci-n	šebi	zow-n-ƛax	sis	ɣˤana-xediw,tell-PFV.CVB	what	leave-PFV.CVB	what	be.NPRS-PST.UNW-QUOT	one	married.couple,"What is to be said, what is to be left out -- there was a couple.",stan1293,,1,v-vsuf	pron	v-vsuf	pron	v-vsuf-suf	num	n1pl,,"О чем рассказать и что оставить, жили были муж и жена."
43832,dido1241,"Xediw qˤač’aw, qizanyos t’alam bodixanusi žek’u zown.",,xediw	qˤač’aw	qizan-s	t’alam	b-odi-xanusi	žek’u	zow-n,husband	rough	family-GEN1	care	III-do-NEG.PRS.PRT	man	be.NPRS-PST.UNW,The husband was a rough man who did not do the family's duty.,stan1293,,1,n1	adj	n3-nsuf	n3	pref-v-vsuf	n1	v-vsuf,,Муж был человеком грубым и не проявлял заботу о своей семье.
43833,dido1241,Axʷa xexbi risk’ač’inir yisä baru qacis muɣ bowa ciqaɣort’a yegirxo zown.,,ax-a	xexbi	r-isk’a-č’i-nir	yisi-a	baru	qaci-s	muɣ	b-ow-a	ciq-aɣor-t’a	y-egir-x	zow-n,belly-IN.ESS	children	III.PL-keep-NEG.FUT.CVB-PURP.CVB	DEM2.ISG.OBL-ERG	wife	firewood-GEN1	bundle	III-bring-INF	forest-IN.VERS-DISTR	II-send-IPFV.CVB	be.NPRS-PST.UNW,"He sent the wife to bring a bundle of firewood from the forest, so that she wouldn't keep the child in the belly.",stan1293,,1,n4-nsuf	n3pl	pref-v-vsuf-vsuf	pron-nsuf	n2	n4-nsuf	n3	pref-v-vsuf	n4-nsuf-suf	pref-v-vsuf	v-vsuf,,"Однажды он отправил свою жену в лес за ношей дров, чтобы в утробе зародыш не сохранился."
43834,dido1241,Sidaquł yiłar ciqqo Allahes ašuni bukayn.,,sidaquł	yiła-r	ciq-q	Allah-s	ašuni	b-ukad-n,one.day	DEM2.IISG.OBL-LAT	forest-POSS.ESS	God-GEN1	belt	III-see-PST.UNW,One day she saw a rainbow in the forest.,stan1293,,1,adv	pron-nsuf	n4-nsuf	n1-nsuf	n3	pref-v-vsuf,,В лесу она увидела радугу.
43835,dido1241,Yiła nełaq (ašunoq) harizi rodin där ukrus nak’ila yołäsi kid yodiroƛƛin.,,yiła-a	neła-q	ašuni-q	harizi	r-odi-n	di-r	ukru-s	nak’ila	yoł-asi	kid	y-odi-r-ƛ-ƛin,DEM2.IISG.OBL-ERG	DEM1.IISG.OBL-POSS.ESS	belt-POSS.ESS	request	IV-do-PST.UNW	me-LAT	silver-GEN1	little.finger	be-RES.PRT	girl	II-do-CAUS-OPT-QUOT,"She begged it (the rainbow), if she could get a girl with a silver pinkie.",stan1293,,1,pron-nsuf	pron-nsuf	n3-nsuf	comp	pref-v-vsuf	pron-nsuf	n3-nsuf	n3	v-vsuf	n2	pref-v-vsuf-vsuf-suf,,"Жена попросила её (радугу), чтобы ей родилась дочь с золотым мизинцем."
43836,dido1241,Łarašawni ɣˤanazas maduhalłiqtow esiws kid zown.,,łarašaw-ni	ɣˤanabi-s	maduhalłi-q-tow	esiw-s	kid	zow-n,pregnant-DEF	woman-GEN1	neighbourhood-POSS.ESS-EMPH	brother-GEN1	daughter	be.NPRS-PST.UNW,In the pregnant woman's neighbourhood lived her brother's daughter.,stan1293,,1,adj-suf	n2-nsuf	n4-nsuf-suf	n1-nsuf	n2	v-vsuf,,В соседстве с беременной женщиной жила её же племянница.
43837,dido1241,Xedyos zulmun č’alʕizi boqno yedu esiwz kidbedäɣor yik’in.,,xediw-s	zulmu-n	č’alʕizi	b-oq-n	yedu	esiw-z	kid-däɣor	y-ik’i-n,husband-GEN1	tyranny-TOP	harass	III-become-PFV.CVB	DEM2.IISG	brother-GEN2	daughter-APUD.VERS	II-go-PST.UNW,"When she couldn't bear her husband's tyranny any longer, she went to her brother's daughter.",stan1293,,1,n1-nsuf	n3-suf	comp	pref-v-vsuf	pron	n1-nsuf	n2-nsuf	pref-v-vsuf,,"Не вытерпев угнетения своего мужа, она пошла к своей племяннице."
43838,dido1241,Sidaquł yiłar mesedyos nak’ila yołäsi kid yodin.,,sidaquł	yiła-r	mesed-s	nak’ila	yoł-asi	kid	y-odi-n,one.day	DEM2.IISG.OBL-LAT	gold-GEN1	little.finger	be-RES.PRT	girl	II-do-PST.UNW,One day she gave birth to a girl that had a golden pinky.,stan1293,,1,adv	pron-nsuf	n3-nsuf	n3	v-vsuf	n2	pref-v-vsuf,,Однажды (в один день) она родила дочь с золотым мизинцем.
43839,dido1241,Yiła kid neširuxay raɣäɣor yoqa gurow yegirxo zownanu.,,yiła-a	kid	neširu-xay	raɣi-aɣor	y-oq-a	gurow	y-egir-x	zow-n-anu,DEM2.IISG.OBL-ERG	girl	evening-AD.ABL	veranda-IN.VERS	II-become-INF	except	II-send-IPFV.CVB	be.NPRS-PFV.CVB-NEG,She didn't allow the girl to go anywere else than the veranda in the evening.,stan1293,,1,pron-nsuf	n2	adv-nsuf	n3-nsuf	pref-v-vsuf	post	pref-v-vsuf	v-vsuf-vsuf,,Своей дочери она по вечерам позволила выйти только на балкон.
43840,dido1241,"Neširuxay maħor ža yaqrun, sadaq šet’urtow gʷanɣizi roqxo zown.",,neširu-xay	maħor	ža	y-oq-run	sadaq	šet’ur-tow	gʷanɣizi	r-oq-x	zow-n,evening-AD.ABL	outside	DEM1.SG	II-become-IMM.ANT.CVB	all	around-EMPH	illuminate	IV-become-IPFV.CVB	be.NPRS-PST.UNW,"Right after she had gone outside in the evening, everything around was getting bright.",stan1293,,1,adv-nsuf	adv	pron	pref-v-vsuf	adv	adv-suf	comp	pref-v-vsuf	v-vsuf,,"Когда она вечером выходила на улицу, все вокруг озарялось."
